Company,Symbol,Lead Managers,Shares (Millions),Price Low,Price High,Est. $ Volume,Expected to Trade,Scraped Date
Alussa Energy Acquisition Corp. II,ALUB.U,Santander,25.0,10.00,10.00,$ 250.0 mil,11/13/2025 Priced,2025-11-13 10:44:52
"Caring Brands, Inc. (Uplisting)",CABR,D. Boral Capital (ex-EF Hutton),1.0,4.00,4.00,$ 4.0 mil,11/13/2025 Priced,2025-11-13 10:44:52
Off the Hook YS,OTH,ThinkEquity,3.8,4.00,4.00,$ 15.0 mil,11/13/2025 Priced,2025-11-13 10:44:52
Phaos Technology (Cayman) Holdings Ltd.,POAS,Network 1 Financial Securities,2.7,4.00,4.00,$ 10.8 mil,11/13/2025 Priced,2025-11-13 10:44:52
"Regentis Biomaterials, Ltd.",RGNT,ThinkEquity,1.0,10.00,12.00,$ 11.0 mil,11/14/2025 Friday,2025-11-13 10:44:52
DT House Ltd.,DTDT,American Trust Investment Services,2.0,4.00,5.00,$ 9.0 mil,11/17/2025 Week of,2025-11-13 10:44:52
ELC Group Holdings Ltd.,ELCG,D. Boral Capital (ex-EF Hutton),1.9,4.00,6.00,$ 9.4 mil,11/17/2025 Week of,2025-11-13 10:44:52
"Gloo Holdings, Inc.",GLOO,Roth Capital Partners,9.1,10.00,12.00,$ 100.1 mil,11/19/2025 Wednesday,2025-11-13 10:44:52
Central Bancompany (Uplisting),CBC,"Morgan Stanley/Keefe, Bruyette & Woods (Stifel)/BofA Securities/Piper Sandler/Stephens Inc.",17.8,21.00,24.00,$ 399.4 mil,11/20/2025 Thursday,2025-11-13 10:44:52
ALE Group Holding  Limited,ALEH,D. Boral Capital (ex-EF Hutton),1.5,4.00,6.00,$ 7.5 mil,11/21/2025 Week of,2025-11-13 10:44:52
Anew Health Ltd.,AVG,D. Boral Capital (ex-EF Hutton),1.8,4.00,6.00,$ 9.0 mil,11/21/2025 Week of,2025-11-13 10:44:52
Libera Gaming Operations,LBRJ,D. Boral Capital (ex-EF Hutton)/Sutter Securities,1.3,4.00,4.00,$ 5.0 mil,11/21/2025 Week of,2025-11-13 10:44:52
Monkey Tree Investment Ltd.,MKTR,Craft Capital Management/Revere Securities,1.6,4.00,5.00,$ 7.0 mil,11/24/2025 Week of,2025-11-13 10:44:52
AIGO Holding Ltd.,AIGO,Eddid Securities USA,2.0,4.00,6.00,$ 10.0 mil,12/1/2025 Week of,2025-11-13 10:44:52
"HW Electro Co., Ltd. (NASDAQ-New Filing)",HWEP,American Trust Investment Services/WestPark Capital,4.2,4.00,4.00,$ 16.6 mil,12/1/2025 Week of,2025-11-13 10:44:52
PressLogic,PLAI,American Trust Investment Services,1.8,4.00,6.00,$ 9.0 mil,12/1/2025 Week of,2025-11-13 10:44:52
Public Policy Holding Co. (NASDAQ Uplisting),PPHC,Oppenheimer & Co./Canaccord Genuity/Texas Capital Securities,4.1,14.64,14.64,$ 60.0 mil,12/1/2025 Week of,2025-11-13 10:44:52
