ticker,31DaysAgo_price,30DaysAgo_price,29DaysAgo_price,28DaysAgo_price,27DaysAgo_price,26DaysAgo_price,25DaysAgo_price,24DaysAgo_price,23DaysAgo_price,22DaysAgo_price,21DaysAgo_price,20DaysAgo_price,19DaysAgo_price,18DaysAgo_price,17DaysAgo_price,16DaysAgo_price,15DaysAgo_price,14DaysAgo_price,13DaysAgo_price,12DaysAgo_price,11DaysAgo_price,10DaysAgo_price,9DaysAgo_price,8DaysAgo_price,7DaysAgo_price,6DaysAgo_price,5DaysAgo_price,4DaysAgo_price,3DaysAgo_price,2DaysAgo_price,1DaysAgo_price,Today_price,Day_move,Week_move,Month_move
LKSPU,,,,,,,,,,,,,,,,,10.0,10.01,10.01,10.005,10.005,10.005,10.005,10.005,10.025,10.025,10.025,10.025,10.02,10.03,10.04,10.04,0.0,0.034999999999998366,0.0
POM,,,,,,,,,,,,,,,,,4.7063,4.7063,4.64,4.23,4.23,4.23,4.23,4.23,4.3612,4.3612,4.3612,4.3612,4.2,4.32,4.5738,4.48,-0.09379999999999988,0.25,0.0
TTRX,,,,,,,,,,,,,,,,,7.05,7.05,7.25,6.88,6.88,6.88,6.88,6.88,5.58,5.58,5.58,5.58,4.89,4.36,4.68,5.05,0.3700000000000001,-1.83,0.0
ALH,,,,,,,,,,,,,,,,,,,24.4533,24.4533,24.4533,24.4533,24.4533,24.4533,25.19,25.19,25.19,25.19,25.395,25.83,26.05,26.45,0.3999999999999986,1.9967000000000006,0.0
PXED,,,,,,,,,,,,,,,,,,,35.0,35.0,35.0,35.0,35.0,35.0,35.855,35.855,35.855,35.855,36.975,36.15,37.66,37.97,0.3100000000000023,2.969999999999999,0.0
LFS,,,,,,,,,,,,,,,,,,,,,,3.77,3.77,3.77,3.32,3.32,3.32,3.32,3.7,3.835,3.7537,3.0621,-0.6915999999999998,-0.7079,0.0
YDDL,,,,,,,,,,,,,,,,,,,,,,5.75,5.75,5.75,4.7499,4.7499,4.7499,4.7499,4.78,5.04,5.01,5.15,0.14000000000000057,-0.5999999999999996,0.0
GIWWU,,,,,,,,,,,,,,,,,,,,,,10.1,10.1,10.1,10.22,10.22,10.22,10.22,10.27,10.235,10.25,10.26,0.009999999999999787,0.16000000000000014,0.0
OWLS,,,,,,,,,,,,,,,,,,,,,,,,43.0,43.0,43.0,43.0,43.0,20.45,10.12,9.9,10.6501,0.7500999999999998,-32.3499,0.0
SEV,,,,,,,,,,,,,,,,,,,,,,,,7.7,7.7,7.85,7.85,7.85,5.13,5.3686,9.3,9.68,0.379999999999999,1.9799999999999995,0.0
ACCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.71,2.71,2.179,2.24,2.9,0.6599999999999997,0.0,0.0
BGIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.37,5.37,4.0312,4.62,4.92,0.2999999999999998,0.0,0.0
AGCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,4.1,4.52,0.41999999999999993,0.0,0.0
AHMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.375,4.375,4.3401,4.44,0.09990000000000077,0.0,0.0
NPT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,4.93,4.82,-0.10999999999999943,0.0,0.0
ALISU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.99,9.99,9.99,9.9802,-0.009800000000000253,0.0,0.0
MCTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2728,6.2728,6.86,7.6499,0.7898999999999994,0.0,0.0
HAVAU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.98,9.98,9.985,0.004999999999999005,0.0,0.0
MMTXU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,10.0,10.0,0.0,0.0,0.0
LAFAU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,10.0,0.0,0.0,0.0
