ticker,31DaysAgo_price,30DaysAgo_price,29DaysAgo_price,28DaysAgo_price,27DaysAgo_price,26DaysAgo_price,25DaysAgo_price,24DaysAgo_price,23DaysAgo_price,22DaysAgo_price,21DaysAgo_price,20DaysAgo_price,19DaysAgo_price,18DaysAgo_price,17DaysAgo_price,16DaysAgo_price,15DaysAgo_price,14DaysAgo_price,13DaysAgo_price,12DaysAgo_price,11DaysAgo_price,10DaysAgo_price,9DaysAgo_price,8DaysAgo_price,7DaysAgo_price,6DaysAgo_price,5DaysAgo_price,4DaysAgo_price,3DaysAgo_price,2DaysAgo_price,1DaysAgo_price,Today_price,Day_move,Week_move,Month_move
CCHH,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.084,4.2,4.15,4.86,4.58,-0.28000000000000025,0.0,0.0
RNGTU,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.01,10.04,10.04,10.08,10.1792,0.09919999999999973,0.0,0.0
CBK,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.6563,24.82,24.655,24.26,25.06,0.7999999999999972,0.0,0.0
YCY.U,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.97,9.98,9.9886,9.97,9.99,0.019999999999999574,0.0,0.0
AGRZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.65,6.099,5.781,5.7,4.91,-0.79,0.0,0.0
FRMI,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.17,28.45,26.59,27.0,22.57,-4.43,0.0,0.0
NP,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.45,26.9,26.8,26.02,26.42,0.40000000000000213,0.0,0.0
BCSS.U,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.225,10.22,10.265,10.255,10.4,0.14499999999999957,0.0,0.0
BDCIU,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.22,10.23,10.3,10.275,10.31,0.03500000000000014,0.0,0.0
APACU,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.96,9.96,9.95,9.98,10.03,0.049999999999998934,0.0,0.0
KNRX,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9002,2.875,2.8117,2.36,1.9861,-0.3738999999999999,0.0,0.0
MGN,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.54,2.9,2.84,2.61,1.8,-0.8099999999999998,0.0,0.0
AEXA,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.3392,11.55,11.615,11.3,11.615,0.3149999999999995,0.0,0.0
FCRS.U,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5,10.5,10.51,10.48,10.63,0.15000000000000036,0.0,0.0
EMISU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.025,0.0,0.0,10.1,0.0,0.0,0.0
DMIIU,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.95,9.965,9.9735,9.98,10.01,0.02999999999999936,0.0,0.0
KOYN,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.94,9.9356,9.94,9.95,9.99,0.040000000000000924,0.0,0.0
LATAU,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.99,9.98,9.98,10.01,0.0,-10.01,0.0,0.0
PTRN,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.02,14.05,13.98,13.21,17.575,4.364999999999998,0.0,0.0
NTSK,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.58,22.34,22.2954,21.46,22.66,1.1999999999999993,0.0,0.0
STUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.7,19.2,19.6102,18.66,20.75,2.09,0.0,0.0
WBI,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.265,26.57,26.2398,23.59,24.155,0.5650000000000013,0.0,0.0
CHOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.751,6.63,6.54,6.26,7.78,1.5200000000000005,0.0,0.0
CHECU,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.96,9.96,9.96,9.97,0.0,-9.97,0.0,0.0
ASST,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.187967,2.015,2.025,1.0499,0.9226,-0.12730000000000008,0.0,0.0
VIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.47,46.31,46.07,45.0,50.165,5.164999999999999,0.0,0.0
