Company,Symbol,Lead Managers,Shares (Millions),Price Low,Price High,Est. $ Volume,Expected to Trade,Scraped Date
Anew Health Ltd.,AVG,D. Boral Capital (ex-EF Hutton),1.8,4.00,6.00,$ 9.0 mil,10/20/2025 Week of,2025-10-07 18:53:53
Monkey Tree Investment Ltd.,MKTR,Revere Securities,1.6,4.00,5.00,$ 7.0 mil,10/20/2025 Week of,2025-10-07 18:53:53
Bgin Blockchain Ltd.,BGIN,D. Boral Capital (ex-EF Hutton),6.0,5.00,7.00,$ 36.0 mil,10/21/2025 Week of,2025-10-07 18:53:53
Miluna Acquisition,MMTX,D. Boral Capital (ex-EF Hutton)/ ARC Group Securities,6.0,10.00,10.00,$ 60.0 mil,10/21/2025 Tuesday,2025-10-16 16:18:48
Ambitions Enterprise Management,AHMA,AC Sunshine Securities/Univest Securities,1.5,4.00,4.00,$ 6.0 mil,10/21/2025 Priced,2025-10-21 09:40:17
Charming Medical Ltd.,MCTA,Cathay Securities,1.6,4.00,4.00,$ 6.4 mil,10/21/2025 Priced,2025-10-21 09:40:17
Miluna Acquisition,MMTXU,D. Boral Capital (ex-EF Hutton)/ ARC Group Securities,6.0,10.00,10.00,$ 60.0 mil,10/21/2025 Tuesday,2025-10-21 09:40:17
Texxon Holding (New Filing),NPT,D. Boral Capital (ex-EF Hutton),2.0,4.00,5.00,$ 9.0 mil,10/22/2025 Wednesday,2025-10-10 21:02:10
Phaos Technology (Cayman) Holdings Ltd.,POAS,Network 1 Financial Securities,3.6,4.00,5.00,$ 16.2 mil,10/22/2025 Wednesday,2025-10-16 16:18:48
AIGO Holding Ltd.,AIGO,Eddid Securities USA,2.0,4.00,6.00,$ 10.0 mil,10/22/2025 Wednesday,2025-10-21 09:40:17
Agencia Comercial Spirits,AGCC,D. Boral Capital (ex-EF Hutton)/Revere Securities,1.8,4.00,4.00,$ 7.0 mil,10/22/2025 Priced,2025-10-22 11:50:26
Calisa Acquisition Corp.,ALISU,EarlyBirdCapital,6.0,10.00,10.00,$ 60.0 mil,10/22/2025 Priced,2025-10-22 11:50:26
ELC Group Holdings Ltd.,ELCG,D. Boral Capital (ex-EF Hutton),1.9,4.00,6.00,$ 9.4 mil,10/23/2025 Thursday,2025-10-22 11:50:26
DT House Ltd.,DTDT,American Trust Investment Services,2.0,4.00,5.00,$ 9.0 mil,10/24/2025 Friday,2025-10-16 16:18:48
Lafayette Acquisition Corp.,LAFAU,EarlyBirdCapital,10.0,10.00,10.00,$ 100.0 mil,10/24/2025 Priced,2025-10-24 11:42:04
"MapLight Therapeutics, Inc.",MPLT,Morgan Stanley/Jefferies/Leerink/Stifel,14.8,17.00,17.00,$ 250.8 mil,10/27/2025 Week of,2025-10-07 18:53:53
Libera Gaming Operations,LBRJ,D. Boral Capital (ex-EF Hutton)/Craft Capital Management/ Boustead Securities,1.3,4.00,4.00,$ 5.0 mil,10/27/2025 Week of,2025-10-22 11:50:26
"Navan, Inc.",NAVN,Goldman Sachs/Citigroup/Jefferies/Mizuho/Morgan Stanley/BNP Paribas/Citizens Capital Markets/Oppenheimer & Co./MUFG/Needham & Co./BTIG,36.9,24.00,26.00,$ 923.0 mil,10/31/2025 Friday,2025-10-16 16:18:48
Park Dental Partners,PARK,Northland Capital Markets/Craig-Hallum,1.5,12.00,14.00,$ 20.0 mil,10/31/2025 Week of,2025-10-23 15:26:43
BETA Technologies,BETA,"Morgan Stanley/Goldman Sachs/BofA Securities/Jefferies/TPG Capital BD, LLC/Citigroup/Cantor/BTIG/Needham & Co.",25.0,27.00,33.00,$ 750.0 mil,11/3/2025 Week of,2025-10-16 16:18:48
"BillionToOne, Inc.",BLLN,J.P. Morgan/Piper Sandler/Jefferies/William Blair/Stifel/Wells Fargo Securities/BTIG,3.9,49.00,55.00,$ 200.0 mil,11/3/2025 Week of,2025-10-21 09:40:17
Evommune,EVMN,Morgan Stanley/Leerink Partners/Evercore ISI/Cantor,9.4,15.00,17.00,$ 150.0 mil,11/3/2025 Week of,2025-10-21 09:40:17
Grupo Aeromexico,AERO,Barclays/ Morgan Stanley/ J.P. Morgan/ Evercore ISI/ Apollo Global Securities,11.7,18.00,20.00,$ 222.8 mil,11/3/2025 Week of,2025-10-21 09:40:17
Crown Reserve Acquisition Corp. I,CRACU,Polaris (A Division of Kingswood),15.0,10.00,10.00,$ 150.0 mil,11/3/2025 Week of,2025-10-23 15:26:43
Exzeo Group,XZO,Truist Securities/Citizens JMP/William Blair,8.0,20.00,22.00,$ 168.0 mil,11/5/2025 Week of,2025-10-16 16:18:48
"HW Electro Co., Ltd. (NASDAQ-New Filing)",HWEP,American Trust Investment Services/WestPark Capital,4.2,4.00,4.00,$ 16.6 mil,11/10/2025 Week of,2025-10-23 15:26:43
Public Policy Holding Co. (NASDAQ Uplisting),PPHC,Oppenheimer & Co./Canaccord Genuity/Texas Capital Securities,4.1,14.64,14.64,$ 60.0 mil,11/12/2025 Wednesday,2025-10-23 15:26:43
