Company,Symbol,Lead Managers,Shares (Millions),Price Low,Price High,Est. $ Volume,Expected to Trade,Scraped Date
GigCapital8 Acquisition Co.,GIWWU,D. Boral Capital (ex-EF Hutton),22.0,10.00,10.00,$ 220.0 mil,10/6/2025 Priced,2025-10-07 18:53:53
Lake Superior Acquisition Corp.,LKSPU,Cohen & Company Capital Markets,10.0,10.00,10.00,$ 100.0 mil,10/7/2025 Priced,2025-10-07 18:53:53
PomDoctor,POM,Joseph Stone Capital/Uphorizon,5.0,4.00,6.00,$ 25.0 mil,10/8/2025 Wednesday,2025-10-07 18:53:53
Turn Therapeutics (Direct Listing),TTRX,Clear Street,17.9,0.00,0.00,$ 0.0 mil,10/8/2025 Wednesday,2025-10-07 18:53:53
Alliance Laundry Holdings Inc.,ALH,BofA Securities/J.P.Morgan/Morgan Stanley/Baird/BDT & MSD/BMO Capital Markets/Citigroup/Goldman Sachs/UBS Investment Bank,34.2,19.00,22.00,$ 700.1 mil,10/9/2025 Thursday,2025-10-07 18:53:53
OBOOK Holdings (Direct Listing),OWLS,D. Boral Capital (ex-EF Hutton) (Financial Adviser),0.0,0.00,0.00,$ 0.0 mil,10/9/2025 Thursday,2025-10-07 18:53:53
Phoenix Education Partners,PXED,Morgan Stanley/Goldman Sachs/BMO Capital Markets/Jefferies/Apollo Global/Truist Securities,4.3,31.00,33.00,$ 136.0 mil,10/9/2025 Thursday,2025-10-07 18:53:53
Agencia Comercial Spirits,AGCC,D. Boral Capital (ex-EF Hutton)/Revere Securities,1.8,4.00,6.00,$ 9.0 mil,10/13/2025 Week of,2025-10-07 18:53:53
BM Acquisition,BMAQU,D. Boral Capital (ex-EF Hutton),6.0,10.00,10.00,$ 60.0 mil,10/13/2025 Week of,2025-10-07 18:53:53
Crown Reserve Acquisition Corp. I,CRACU,Polaris (A Division of Kingswood),15.0,10.00,10.00,$ 150.0 mil,10/13/2025 Week of,2025-10-07 18:53:53
ELC Group Holdings Ltd.,ELCG,D. Boral Capital (ex-EF Hutton),1.8,4.00,6.00,$ 9.0 mil,10/13/2025 Week of,2025-10-07 18:53:53
Libera Gaming Operations,LBRJ,D. Boral Capital (ex-EF Hutton)/Craft Capital Management/ Boustead Securities,1.3,4.00,4.00,$ 5.0 mil,10/13/2025 Week of,2025-10-07 18:53:53
Thunderstone Acquisition Corp.,TDSTU,D. Boral Capital (ex-EF Hutton)/ARC Group Securities,5.0,10.00,10.00,$ 50.0 mil,10/13/2025 Week of,2025-10-07 18:53:53
Ultratrex,UTX,Craft Capital Management,1.3,4.00,6.00,$ 6.3 mil,10/13/2025 Week of,2025-10-07 18:53:53
"Altech Digital Co., Ltd.",ALD,Pacific Century Securities/Revere Securities,1.5,4.00,4.00,$ 6.0 mil,10/15/2025 Week of,2025-10-07 18:53:53
"HW Electro Co., Ltd. (NASDAQ-New Filing)",HWEP,American Trust Investment Services/WestPark Capital,4.2,4.00,4.00,$ 16.6 mil,10/15/2025 Week of,2025-10-07 18:53:53
Smart Logistics Global Ltd.,SLGB,Craft Capital Management/Revere Securities,1.0,5.00,6.00,$ 5.5 mil,10/15/2025 Week of,2025-10-07 18:53:53
Harvard Avenue Acquisition Corp.,HAVAU,D. Boral Capital (ex-EF Hutton),18.0,10.00,10.00,$ 180.0 mil,10/17/2025 Friday,2025-10-07 18:53:53
Anew Health Ltd.,AVG,D. Boral Capital (ex-EF Hutton),1.8,4.00,6.00,$ 9.0 mil,10/20/2025 Week of,2025-10-07 18:53:53
Monkey Tree Investment Ltd.,MKTR,Revere Securities,1.6,4.00,5.00,$ 7.0 mil,10/20/2025 Week of,2025-10-07 18:53:53
Bgin Blockchain Ltd.,BGIN,D. Boral Capital (ex-EF Hutton),6.0,5.00,7.00,$ 36.0 mil,10/21/2025 Week of,2025-10-07 18:53:53
"MapLight Therapeutics, Inc.",MPLT,Morgan Stanley/Jefferies/Leerink/Stifel,14.8,17.00,17.00,$ 250.8 mil,10/27/2025 Week of,2025-10-07 18:53:53
